ALPHA_3_CODE,IsscaapGrp_mapping,Name_En,Scientific_Name,Name_Cn,Troph,Troph.SE,SL.max,DATA.SOURCE,FOOD.ITEM
HNQ,42,Pink geryon,Chaceon macphersoni,,2.85,NA,NA,SeaAroundUs,Crustaceans
HNS,33,,Anisotremus scapularis,,3.67,NA,NA,SeaAroundUs,Demersal fish
HOA,13,,Hoplias aimara,,3.74,0.55,100,FishBase_ISSCAAP,Freshwater fish
HOB,33,Hottentot seabream,Pachymetopon blochii,布氏切齿鲷,3.37,NA,NA,FishBase,Demersal fish
HOC,33,Honnibe croaker,Nibea mitsukurii,,3.5,0.37,75,FishBase_ISSCAAP,Demersal fish
HOF,32,Offshore silver hake,Merluccius albidus,,3.43,0.36,36.26,FishBase_ISSCAAP,Demersal fish
HOL,38,"Chimaeras, etc. nei",Chimaeriformes,,3.66,0.04,82,FishBase_ISSCAAP,Demersal fish
HOM,37,Atlantic horse mackerel,Trachurus trachurus,,3.64,0.58,61.72,FishBase_ISSCAAP,Pelagic fish
HON,11,Common nase,Chondrostoma nasus,软口鱼,2,0,41,FishBase_ISSCAAP,Freshwater fish
HOO,33,Squirrelfish,Holocentrus adscensionis,,3.11,NA,NA,SeaAroundUs,Demersal fish
HOT,33,Blue hottentot,Pachymetopon aeneum,,3.23,NA,NA,SeaAroundUs,Demersal fish
HOU,23,Houting,Coregonus oxyrinchus,尖吻白鲑,3.25,0.25,42.35,FishBase_ISSCAAP,Freshwater fish
HPN,13,Highwaterman catfish,Hypophthalmus edentatus,,2.91,0.3,47.15,FishBase_ISSCAAP,Freshwater fish
HPU,13,Aimara,Hoplerythrinus unitaeniatus,,3.41,0.49,22.13,FishBase_ISSCAAP,Freshwater fish
HRC,33,Peruvian chromis,Chromis intercrusma,,3.5,NA,NA,Estimate(FishBase),Demersal fish
HSC,75,Horseshoe crab,Limulus polyphemus,,2.98,NA,NA,SeaAroundUs,"Aquatic animals, other"
HSO,37,Pacific bumper,Chloroscombrus orqueta,太平洋鲭鯵,2.54,0.31,24.6,FishBase_ISSCAAP,Pelagic fish
HSR,13,Atipa,Hoplosternum littorale,滨岸护胸鲶,2.68,0.28,19.68,FishBase_ISSCAAP,Freshwater fish
HTF,13,Stinging catfish,Heteropneustes fossilis,印度囊鳃鲶,3.68,0.62,25.99,FishBase_ISSCAAP,Freshwater fish
HTN,13,African bonytongue,Heterotis niloticus,,2.55,0.26,100,FishBase_ISSCAAP,Freshwater fish
HTZ,33,Pacific spadefish,Chaetodipterus zonatus,,3.31,0.58,53.34,FishBase_ISSCAAP,Demersal fish
HUH,21,Beluga,Huso huso,欧洲鳇,4.06,0.97,410,FishBase_ISSCAAP,Pelagic fish
HUM,33,Atka mackerel,Pleurogrammus monopterygius,,3.33,0.38,48.07,FishBase_ISSCAAP,Demersal fish
HUS,33,Yellow snapper,Lutjanus argentiventris,纹眼笛鲷,4.04,0.634,58.22,FishBase_ISSCAAP,Demersal fish
HUV,45,Northern nylon shrimp,Heterocarpus vicarius,北方异腕虾,2.7,NA,NA,SeaAroundUs,Crustaceans
HVJ,23,Japanese smelt,Hypomesus nipponensis,,3.2,0.42,13.94,FishBase_ISSCAAP,Pelagic fish
HVM,33,Humphead wrasse,Cheilinus undulatus,波纹唇鱼(曲纹唇鱼),3.99,0.61,229,FishBase_ISSCAAP,Demersal fish
HVS,33,Sabre squirrelfish,Sargocentron spiniferum,,3.54,0.58,46.42,FishBase_ISSCAAP,Demersal fish
HVW,13,,Hoplias spp,,3.74,NA,NA,FishBase,Freshwater fish
HWP,42,Giant stone crab,Homalaspis plana,,3.59,NA,NA,SeaAroundUs,Crustaceans
HWU,13,Trahira,Hoplias malabaricus,虎利齿脂鲤,4.5,NA,NA,FishBase,Freshwater fish
HWV,13,Payara,Hydrolycus scomberoides,,4.5,NA,NA,FishBase,Freshwater fish
HXP,11,"Silver, bighead carps nei",Hypophthalmichthys spp,,2.16,0.17,82,FishBase_ISSCAAP,Freshwater fish
HYD,38,Ratfishes nei,Hydrolagus spp,,3.77,0.04,69.862,FishBase_ISSCAAP,Demersal fish
HYM,13,Zamurito,Calophysus macropterus,,3.18,NA,NA,FishBase,Freshwater fish
HYZ,74,Red oyas,Halocynthia roretzi,,3,NA,NA,SeaAroundUs,"Aquatic animals, other"
HZR,37,Longfin halfbeak,Hemiramphus saltator,,3.98,NA,NA,FishBase,Pelagic fish
HZY,13,,Hypostomus spp,,2,NA,NA,Estimate(FishBase),Freshwater fish
HZZ,13,,Hemiodus spp,,2.7,NA,NA,Estimate(FishBase),Freshwater fish
IAG,33,Corvina drum,Cilus gilberti,吉氏毛突石首鱼,3.66,0.53,49.2,FishBase_ISSCAAP,Demersal fish
IAH,57,Pharaoh cuttlefish,Sepia pharaonis,虎斑乌贼,3.8,NA,NA,SeaAroundUs,Cephalopods
IAX,57,Cuttlefishes nei,Sepia spp,,3.69,NA,NA,SeaAroundUs,Cephalopods
IBC,43,Japanese fan lobster,Ibacus ciliatus,毛缘扇虾,2.6,NA,NA,SeaAroundUs,Crustaceans
IBZ,12,,Bathybates minor,小渊丽鱼,4.2,NA,NA,FishBase,Freshwater fish
ICI,31,True sole,Heteromycteris proboscideus,,3.3,NA,NA,Estimate(FishBase),Demersal fish
ICX,34,Crocodile icefishes nei,Channichthyidae,,3.59,0.07,48,FishBase_ISSCAAP,Demersal fish
IEW,33,Harry hotlips,Plectorhinchus gibbosus,,3.57,NA,NA,SeaAroundUs,Demersal fish
IGX,12,,Cichla spp,,4.48,NA,NA,FishBase,Freshwater fish
IIM,33,Splittail bass,Hemanthias peruanus,,3.4,NA,NA,FishBase,Demersal fish
IKX,34,,Muraenesocidae,,3.9,NA,NA,SeaAroundUs,Demersal fish
ILI,24,West African ilisha,Ilisha africana,,3.44,0.54,30,FishBase_ISSCAAP,Pelagic fish
ILL,57,Shortfin squids nei,Illex spp,,3.98,NA,NA,SeaAroundUs,Cephalopods
ILP,13,Glass schilbid,Parailia pellucida,,3.45,0.47,12.3,FishBase_ISSCAAP,Freshwater fish
ILS,33,Silver sillago,Sillago sihama,多鳞鱚,3.37,0.47,31,FishBase_ISSCAAP,Demersal fish
INV,77,Aquatic invertebrates nei,Invertebrata,,3,NA,NA,"Estimate(Sylvain et al., 2013)","Aquatic animals, other"
IOD,42,Blue-leg swimcrab,Liocarcinus depurator,蓝腿平滑梭子蟹,2.6,NA,NA,SeaAroundUs,Crustaceans
IOS,35,Indian oil sardine,Sardinella longiceps,,2.41,0.222,23,FishBase_ISSCAAP,Pelagic fish
IPO,13,Flathead catfish,Pylodictis olivaris,,3.79,0.65,127.78,FishBase_ISSCAAP,Freshwater fish
IRQ,13,Sleek lates,Lates stappersii,,4.27,NA,NA,FishBase,Freshwater fish
ISA,33,Bigtooth corvina,Isopisthus parvipinnis,,3.6,0.59,20.5,FishBase_ISSCAAP,Demersal fish
ISC,55,Iceland scallop,Chlamys islandica,,2.1,0.29,NA,FishBase_ISSCAAP,"Molluscs, other"
ISI,31,Butter sole,Isopsetta isolepis,,3.59,NA,NA,SeaAroundUs,Demersal fish
ISR,33,Silver weakfish,Isopisthus remifer,,4.2,NA,NA,SeaAroundUs,Demersal fish
ITF,13,Blue catfish,Ictalurus furcatus,长鳍叉尾鮰,3.41,0.44,135.3,FishBase_ISSCAAP,Freshwater fish
ITM,13,Black bullhead,Ameiurus melas,黑鮰,3.73,0.64,57.09,FishBase_ISSCAAP,Freshwater fish
